MeV,eV,flux,error
1.13E-06,1.13E+00,1.57E-06,0.0028
1.16E-06,1.16E+00,1.57E-06,0.0028
1.19E-06,1.19E+00,1.58E-06,0.0028
1.22E-06,1.22E+00,1.58E-06,0.0029
1.25E-06,1.25E+00,1.58E-06,0.0028
1.29E-06,1.29E+00,1.59E-06,0.0028
1.32E-06,1.32E+00,1.58E-06,0.0028
1.36E-06,1.36E+00,1.59E-06,0.0028
1.39E-06,1.39E+00,1.58E-06,0.0028
1.43E-06,1.43E+00,1.58E-06,0.0028
1.47E-06,1.47E+00,1.58E-06,0.0028
1.51E-06,1.51E+00,1.58E-06,0.0028
1.55E-06,1.55E+00,1.58E-06,0.0028
1.59E-06,1.59E+00,1.58E-06,0.0028
1.63E-06,1.63E+00,1.58E-06,0.0028
1.68E-06,1.68E+00,1.57E-06,0.0028
1.72E-06,1.72E+00,1.57E-06,0.0029
1.77E-06,1.77E+00,1.57E-06,0.0029
1.81E-06,1.81E+00,1.57E-06,0.0028
1.86E-06,1.86E+00,1.56E-06,0.0028
1.91E-06,1.91E+00,1.57E-06,0.0028
1.96E-06,1.96E+00,1.56E-06,0.0029
2.01E-06,2.01E+00,1.55E-06,0.0028
2.07E-06,2.07E+00,1.55E-06,0.0028
2.12E-06,2.12E+00,1.56E-06,0.0028
2.18E-06,2.18E+00,1.56E-06,0.0028
2.24E-06,2.24E+00,1.55E-06,0.0029
2.30E-06,2.30E+00,1.55E-06,0.0028
2.36E-06,2.36E+00,1.55E-06,0.0028
2.42E-06,2.42E+00,1.55E-06,0.0028
2.49E-06,2.49E+00,1.55E-06,0.0028
2.55E-06,2.55E+00,1.54E-06,0.0029
2.62E-06,2.62E+00,1.54E-06,0.0028
2.69E-06,2.69E+00,1.54E-06,0.0028
2.76E-06,2.76E+00,1.54E-06,0.0029
2.84E-06,2.84E+00,1.54E-06,0.0029
2.91E-06,2.91E+00,1.54E-06,0.0028
2.99E-06,2.99E+00,1.53E-06,0.0029
3.07E-06,3.07E+00,1.53E-06,0.0029
3.15E-06,3.15E+00,1.53E-06,0.0028
3.24E-06,3.24E+00,1.53E-06,0.0028
3.32E-06,3.32E+00,1.52E-06,0.0028
3.41E-06,3.41E+00,1.52E-06,0.0028
3.50E-06,3.50E+00,1.52E-06,0.0028
3.59E-06,3.59E+00,1.52E-06,0.0028
3.69E-06,3.69E+00,1.51E-06,0.0029
3.79E-06,3.79E+00,1.52E-06,0.0029
3.89E-06,3.89E+00,1.52E-06,0.0028
3.99E-06,3.99E+00,1.52E-06,0.0029
4.10E-06,4.10E+00,1.52E-06,0.0029
4.21E-06,4.21E+00,1.52E-06,0.0028
4.32E-06,4.32E+00,1.51E-06,0.0028
4.44E-06,4.44E+00,1.50E-06,0.0029
4.56E-06,4.56E+00,1.51E-06,0.0028
4.68E-06,4.68E+00,1.50E-06,0.0029
4.80E-06,4.80E+00,1.49E-06,0.0029
4.93E-06,4.93E+00,1.48E-06,0.0029
5.06E-06,5.06E+00,1.49E-06,0.0029
5.20E-06,5.20E+00,1.48E-06,0.0029
5.33E-06,5.33E+00,1.48E-06,0.0028
5.48E-06,5.48E+00,1.47E-06,0.0029
5.62E-06,5.62E+00,1.46E-06,0.0028
5.77E-06,5.77E+00,1.46E-06,0.0028
5.93E-06,5.93E+00,1.44E-06,0.0028
6.09E-06,6.09E+00,1.43E-06,0.0029
6.25E-06,6.25E+00,1.40E-06,0.0029
6.41E-06,6.41E+00,1.39E-06,0.0028
6.59E-06,6.59E+00,1.37E-06,0.0028
6.76E-06,6.76E+00,1.37E-06,0.0028
6.94E-06,6.94E+00,1.38E-06,0.0028
7.13E-06,7.13E+00,1.41E-06,0.0028
7.32E-06,7.32E+00,1.44E-06,0.0028
7.51E-06,7.51E+00,1.47E-06,0.0028
7.71E-06,7.71E+00,1.49E-06,0.0028
7.92E-06,7.92E+00,1.50E-06,0.0028
8.13E-06,8.13E+00,1.52E-06,0.0028
8.35E-06,8.35E+00,1.53E-06,0.0028
8.57E-06,8.57E+00,1.53E-06,0.0028
8.80E-06,8.80E+00,1.50E-06,0.0028
9.03E-06,9.03E+00,1.52E-06,0.0028
9.27E-06,9.27E+00,1.54E-06,0.0028
9.52E-06,9.52E+00,1.55E-06,0.0028
9.77E-06,9.77E+00,1.55E-06,0.0028
1.00E-05,1.00E+01,1.54E-06,0.0028
1.03E-05,1.03E+01,1.52E-06,0.0028
1.06E-05,1.06E+01,1.54E-06,0.0028
1.09E-05,1.09E+01,1.55E-06,0.0028
1.11E-05,1.11E+01,1.55E-06,0.0028
1.14E-05,1.14E+01,1.54E-06,0.0028
1.18E-05,1.18E+01,1.52E-06,0.0028
1.21E-05,1.21E+01,1.54E-06,0.0028
1.24E-05,1.24E+01,1.51E-06,0.0028
1.27E-05,1.27E+01,1.53E-06,0.0028
1.31E-05,1.31E+01,1.55E-06,0.0028
1.34E-05,1.34E+01,1.55E-06,0.0028
1.38E-05,1.38E+01,1.55E-06,0.0028
1.41E-05,1.41E+01,1.54E-06,0.0028
1.45E-05,1.45E+01,1.55E-06,0.0028
1.49E-05,1.49E+01,1.55E-06,0.0028
1.53E-05,1.53E+01,1.55E-06,0.0028
1.57E-05,1.57E+01,1.55E-06,0.0028
1.61E-05,1.61E+01,1.54E-06,0.0028
1.65E-05,1.65E+01,1.54E-06,0.0028
1.70E-05,1.70E+01,1.54E-06,0.0028
1.74E-05,1.74E+01,1.54E-06,0.0028
1.79E-05,1.79E+01,1.54E-06,0.0028
1.84E-05,1.84E+01,1.53E-06,0.0028
1.89E-05,1.89E+01,1.53E-06,0.0028
1.94E-05,1.94E+01,1.48E-06,0.0028
1.99E-05,1.99E+01,1.48E-06,0.0028
2.04E-05,2.04E+01,1.45E-06,0.0028
2.10E-05,2.10E+01,1.42E-06,0.0028
2.15E-05,2.15E+01,1.43E-06,0.0028
2.21E-05,2.21E+01,1.49E-06,0.0028
2.27E-05,2.27E+01,1.53E-06,0.0028
2.33E-05,2.33E+01,1.54E-06,0.0028
2.39E-05,2.39E+01,1.55E-06,0.0028
2.46E-05,2.46E+01,1.57E-06,0.0028
2.52E-05,2.52E+01,1.57E-06,0.0028
2.59E-05,2.59E+01,1.58E-06,0.0028
2.66E-05,2.66E+01,1.58E-06,0.0028
2.73E-05,2.73E+01,1.58E-06,0.0028
2.80E-05,2.80E+01,1.58E-06,0.0028
2.88E-05,2.88E+01,1.58E-06,0.0028
2.95E-05,2.95E+01,1.58E-06,0.0028
3.03E-05,3.03E+01,1.58E-06,0.0028
3.11E-05,3.11E+01,1.57E-06,0.0028
