Filename,keff value
o_b8hcp-caseSC-c500-r58_57-d2o96_8-v1200.o,0.92195
o_b8hcp-caseSC-c500-r61_51-d2o96_8-v1400.o,0.92757
o_b8hcp-caseSC-c500-r66_68-d2o96_8-v1800.o,0.92791
o_b8hcp-caseSC-c500-r68_98-d2o96_8-v2000.o,0.92474
o_b8hcp-caseSC-c500-r70_08-d2o96_8-v2100.o,0.92240
o_b8hcp-caseSC-c500-r71_14-d2o96_8-v2200.o,0.91934
o_b8hcp-caseSC-c500-r72_18-d2o96_8-v2300.o,0.91690
o_b8hcp-caseSC-c500-r73_18-d2o96_8-v2400.o,0.91417
o_b8hcp-caseSC-c500-r74_16-d2o96_8-v2500.o,0.91035
o_b8hcp-caseSC-c500-r75_11-d2o96_8-v2600.o,0.90667
o_b8hcp-caseSC-c500-r76_04-d2o96_8-v2700.o,0.90353
o_b8hcp-caseSC-c500-r76_95-d2o96_8-v2800.o,0.89992
o_b8hcp-caseSC-c500-r77_83-d2o96_8-v2900.o,0.89628
o_b8hcp-caseSC-c500-r78_70-d2o96_8-v3000.o,0.89240
o_b8hcp-caseSC-c500-r79_55-d2o96_8-v3100.o,0.88867
o_b8hcp-caseSC-c500-r80_38-d2o96_8-v3200.o,0.88458
o_b8hcp-caseSC-c500-r81_19-d2o96_8-v3300.o,0.88102
o_b8hcp-caseSC-c500-r81_99-d2o96_8-v3400.o,0.87662
o_b8hcp-caseSC-c500-r82_77-d2o96_8-v3500.o,0.87286
o_b8hcp-caseSC-c500-r83_53-d2o96_8-v3600.o,0.86858
o_b8hcp-caseSC-c500-r84_29-d2o96_8-v3700.o,0.86476
o_b8hcp-caseSC-c500-r85_03-d2o96_8-v3800.o,0.86103
o_b8hcp-caseSC-c500-r86_47-d2o96_8-v4000.o,0.85290
o_b8hcp-caseSC-c500-r87_17-d2o96_8-v4100.o,0.84900
o_b8hcp-caseSC-c500-r87_87-d2o96_8-v4200.o,0.84512
o_b8hcp-caseSC-c550-r58_67-d2o96_8-v1200.o,0.92804
o_b8hcp-caseSC-c550-r61_60-d2o96_8-v1400.o,0.93526
o_b8hcp-caseSC-c550-r66_75-d2o96_8-v1800.o,0.93649
o_b8hcp-caseSC-c550-r69_05-d2o96_8-v2000.o,0.93380
o_b8hcp-caseSC-c550-r70_15-d2o96_8-v2100.o,0.93168
o_b8hcp-caseSC-c550-r71_21-d2o96_8-v2200.o,0.92965
o_b8hcp-caseSC-c550-r72_24-d2o96_8-v2300.o,0.92737
o_b8hcp-caseSC-c550-r73_24-d2o96_8-v2400.o,0.92425
o_b8hcp-caseSC-c550-r74_22-d2o96_8-v2500.o,0.92144
o_b8hcp-caseSC-c550-r75_17-d2o96_8-v2600.o,0.91823
o_b8hcp-caseSC-c550-r76_10-d2o96_8-v2700.o,0.91450
o_b8hcp-caseSC-c550-r77_00-d2o96_8-v2800.o,0.91106
o_b8hcp-caseSC-c550-r77_89-d2o96_8-v2900.o,0.90748
o_b8hcp-caseSC-c550-r78_75-d2o96_8-v3000.o,0.90392
o_b8hcp-caseSC-c550-r79_60-d2o96_8-v3100.o,0.90031
o_b8hcp-caseSC-c550-r80_43-d2o96_8-v3200.o,0.89643
o_b8hcp-caseSC-c550-r81_24-d2o96_8-v3300.o,0.89298
o_b8hcp-caseSC-c550-r82_03-d2o96_8-v3400.o,0.88883
o_b8hcp-caseSC-c550-r82_82-d2o96_8-v3500.o,0.88497
o_b8hcp-caseSC-c550-r83_58-d2o96_8-v3600.o,0.88084
o_b8hcp-caseSC-c550-r84_33-d2o96_8-v3700.o,0.87696
o_b8hcp-caseSC-c550-r85_07-d2o96_8-v3800.o,0.87337
o_b8hcp-caseSC-c550-r86_52-d2o96_8-v4000.o,0.86516
o_b8hcp-caseSC-c550-r87_22-d2o96_8-v4100.o,0.86143
o_b8hcp-caseSC-c550-r87_91-d2o96_8-v4200.o,0.85714
o_b8hcp-caseSC-c600-r58_76-d2o96_8-v1200.o,0.93416
o_b8hcp-caseSC-c600-r61_69-d2o96_8-v1400.o,0.94180
o_b8hcp-caseSC-c600-r66_83-d2o96_8-v1800.o,0.94454
o_b8hcp-caseSC-c600-r69_12-d2o96_8-v2000.o,0.94217
o_b8hcp-caseSC-c600-r70_21-d2o96_8-v2100.o,0.94058
o_b8hcp-caseSC-c600-r71_27-d2o96_8-v2200.o,0.93797
o_b8hcp-caseSC-c600-r72_30-d2o96_8-v2300.o,0.93595
o_b8hcp-caseSC-c600-r73_30-d2o96_8-v2400.o,0.93277
o_b8hcp-caseSC-c600-r74_28-d2o96_8-v2500.o,0.93007
o_b8hcp-caseSC-c600-r75_23-d2o96_8-v2600.o,0.92688
o_b8hcp-caseSC-c600-r76_15-d2o96_8-v2700.o,0.92417
o_b8hcp-caseSC-c600-r77_06-d2o96_8-v2800.o,0.92070
o_b8hcp-caseSC-c600-r77_94-d2o96_8-v2900.o,0.91684
o_b8hcp-caseSC-c600-r78_81-d2o96_8-v3000.o,0.91343
o_b8hcp-caseSC-c600-r79_65-d2o96_8-v3100.o,0.90993
o_b8hcp-caseSC-c600-r80_48-d2o96_8-v3200.o,0.90649
o_b8hcp-caseSC-c600-r81_29-d2o96_8-v3300.o,0.90268
o_b8hcp-caseSC-c600-r82_08-d2o96_8-v3400.o,0.89903
o_b8hcp-caseSC-c600-r82_86-d2o96_8-v3500.o,0.89515
o_b8hcp-caseSC-c600-r83_63-d2o96_8-v3600.o,0.89137
o_b8hcp-caseSC-c600-r84_38-d2o96_8-v3700.o,0.88769
o_b8hcp-caseSC-c600-r85_12-d2o96_8-v3800.o,0.88398
o_b8hcp-caseSC-c600-r86_56-d2o96_8-v4000.o,0.87606
o_b8hcp-caseSC-c600-r87_26-d2o96_8-v4100.o,0.87235
o_b8hcp-caseSC-c600-r87_95-d2o96_8-v4200.o,0.86797
o_b8hcp-caseSC-c664-r58_89-d2o96_8-v1200.o,0.94136
o_b8hcp-caseSC-c664-r61_80-d2o96_8-v1400.o,0.94914
o_b8hcp-caseSC-c664-r66_92-d2o96_8-v1800.o,0.95225
o_b8hcp-caseSC-c664-r69_21-d2o96_8-v2000.o,0.94954
o_b8hcp-caseSC-c664-r70_30-d2o96_8-v2100.o,0.94824
o_b8hcp-caseSC-c664-r71_36-d2o96_8-v2200.o,0.94598
o_b8hcp-caseSC-c664-r72_38-d2o96_8-v2300.o,0.94370
o_b8hcp-caseSC-c664-r73_38-d2o96_8-v2400.o,0.94095
o_b8hcp-caseSC-c664-r74_36-d2o96_8-v2500.o,0.93800
o_b8hcp-caseSC-c664-r75_30-d2o96_8-v2600.o,0.93500
o_b8hcp-caseSC-c664-r76_23-d2o96_8-v2700.o,0.93197
o_b8hcp-caseSC-c664-r77_13-d2o96_8-v2800.o,0.92817
o_b8hcp-caseSC-c664-r78_01-d2o96_8-v2900.o,0.92503
o_b8hcp-caseSC-c664-r78_87-d2o96_8-v3000.o,0.92139
o_b8hcp-caseSC-c664-r79_72-d2o96_8-v3100.o,0.91753
o_b8hcp-caseSC-c664-r80_54-d2o96_8-v3200.o,0.91407
o_b8hcp-caseSC-c664-r81_35-d2o96_8-v3300.o,0.91028
o_b8hcp-caseSC-c664-r82_15-d2o96_8-v3400.o,0.90668
o_b8hcp-caseSC-c664-r82_93-d2o96_8-v3500.o,0.90278
o_b8hcp-caseSC-c664-r83_69-d2o96_8-v3600.o,0.89881
o_b8hcp-caseSC-c664-r84_44-d2o96_8-v3700.o,0.89527
o_b8hcp-caseSC-c664-r85_18-d2o96_8-v3800.o,0.89140
o_b8hcp-caseSC-c664-r86_62-d2o96_8-v4000.o,0.88371
o_b8hcp-caseSC-c664-r87_32-d2o96_8-v4100.o,0.87962
o_b8hcp-caseSC-c664-r88_01-d2o96_8-v4200.o,0.87579
o_b8hcp-caseSC-c700-r58_96-d2o96_8-v1200.o,0.94100
o_b8hcp-caseSC-c700-r61_86-d2o96_8-v1400.o,0.95047
o_b8hcp-caseSC-c700-r66_97-d2o96_8-v1800.o,0.95686
o_b8hcp-caseSC-c700-r69_26-d2o96_8-v2000.o,0.95561
o_b8hcp-caseSC-c700-r70_35-d2o96_8-v2100.o,0.95410
o_b8hcp-caseSC-c700-r71_40-d2o96_8-v2200.o,0.95272
o_b8hcp-caseSC-c700-r72_43-d2o96_8-v2300.o,0.95052
o_b8hcp-caseSC-c700-r73_43-d2o96_8-v2400.o,0.94903
o_b8hcp-caseSC-c700-r74_40-d2o96_8-v2500.o,0.94632
o_b8hcp-caseSC-c700-r75_35-d2o96_8-v2600.o,0.94342
o_b8hcp-caseSC-c700-r76_27-d2o96_8-v2700.o,0.94080
o_b8hcp-caseSC-c700-r77_17-d2o96_8-v2800.o,0.93795
o_b8hcp-caseSC-c700-r78_05-d2o96_8-v2900.o,0.93459
o_b8hcp-caseSC-c700-r78_91-d2o96_8-v3000.o,0.93146
o_b8hcp-caseSC-c700-r79_75-d2o96_8-v3100.o,0.92844
o_b8hcp-caseSC-c700-r80_58-d2o96_8-v3200.o,0.92472
o_b8hcp-caseSC-c700-r81_39-d2o96_8-v3300.o,0.92196
o_b8hcp-caseSC-c700-r82_18-d2o96_8-v3400.o,0.91818
o_b8hcp-caseSC-c700-r82_96-d2o96_8-v3500.o,0.91450
o_b8hcp-caseSC-c700-r83_72-d2o96_8-v3600.o,0.91113
o_b8hcp-caseSC-c700-r84_47-d2o96_8-v3700.o,0.90750
o_b8hcp-caseSC-c700-r85_21-d2o96_8-v3800.o,0.90384
o_b8hcp-caseSC-c700-r86_65-d2o96_8-v4000.o,0.89669
o_b8hcp-caseSC-c700-r87_35-d2o96_8-v4100.o,0.89283
