output_filename,cubes,modr v L,core r cm,keff,keff unc,therm fis %
o_b8hcp-caseSC-c1800-r72_81-d2o96_8-v2200.o,1800.0,2200.0,72.8077,0.9622,0.00013,84.94
o_b8hcp-caseSC-c1800-r76_61-d2o96_8-v2600.o,1800.0,2600.0,76.60895,0.98345,0.00011,86.36
o_b8hcp-caseSC-c1800-r80_07-d2o96_8-v3000.o,1800.0,3000.0,80.06634,0.9974,0.00012,87.38
o_b8hcp-caseSC-c1800-r83_25-d2o96_8-v3400.o,1800.0,3400.0,83.24843,1.00607,0.00012,88.13
o_b8hcp-caseSC-c1800-r86_20-d2o96_8-v3800.o,1800.0,3800.0,86.20425,1.01128,0.00011,88.72
o_b8hcp-caseSC-c1800-r88_97-d2o96_8-v4200.o,1800.0,4200.0,88.97018,1.01367,0.00011,89.16
o_b8hcp-caseSC-c1900-r61_16-d2o96_8-v1200.o,1900.0,1200.0,61.1612,0.81647,0.00012,74.92
o_b8hcp-caseSC-c1900-r63_88-d2o96_8-v1400.o,1900.0,1400.0,63.87543,0.85317,0.00014,77.65
o_b8hcp-caseSC-c1900-r68_70-d2o96_8-v1800.o,1900.0,1800.0,68.70251,0.90717,0.00013,81.3
o_b8hcp-caseSC-c1900-r72_93-d2o96_8-v2200.o,1900.0,2200.0,72.93258,0.94382,0.00014,83.67
o_b8hcp-caseSC-c1900-r76_72-d2o96_8-v2600.o,1900.0,2600.0,76.72178,0.96936,0.00012,85.3
o_b8hcp-caseSC-c1900-r80_17-d2o96_8-v3000.o,1900.0,3000.0,80.16965,0.98678,0.00013,86.49
o_b8hcp-caseSC-c1900-r83_34-d2o96_8-v3400.o,1900.0,3400.0,83.34401,0.99918,0.00016,87.37
o_b8hcp-caseSC-c1900-r86_29-d2o96_8-v3800.o,1900.0,3800.0,86.2934,1.00747,0.00012,88.05
o_b8hcp-caseSC-c1900-r89_05-d2o96_8-v4200.o,1900.0,4200.0,89.05388,1.01266,0.00012,88.59
o_b8hcp-caseSC-c2000-r61_34-d2o96_8-v1200.o,2000.0,1200.0,61.33797,0.80969,0.00014,74.22
o_b8hcp-caseSC-c2000-r64_04-d2o96_8-v1400.o,2000.0,1400.0,64.03755,0.84659,0.00013,76.99
o_b8hcp-caseSC-c2000-r68_84-d2o96_8-v1800.o,2000.0,1800.0,68.84272,0.90195,0.00015,80.82
o_b8hcp-caseSC-c2000-r73_06-d2o96_8-v2200.o,2000.0,2200.0,73.05704,0.93989,0.00015,83.26
o_b8hcp-caseSC-c2000-r76_83-d2o96_8-v2600.o,2000.0,2600.0,76.83427,0.96656,0.00015,84.96
o_b8hcp-caseSC-c2000-r80_27-d2o96_8-v3000.o,2000.0,3000.0,80.27269,0.98524,0.00014,86.18
o_b8hcp-caseSC-c2000-r83_44-d2o96_8-v3400.o,2000.0,3400.0,83.43937,0.9984,0.00011,87.12
o_b8hcp-caseSC-c2000-r86_38-d2o96_8-v3800.o,2000.0,3800.0,86.38236,1.00731,0.00013,87.84
o_b8hcp-caseSC-c2000-r89_14-d2o96_8-v4200.o,2000.0,4200.0,89.13742,1.01374,0.00013,88.4
o_b8hcp-caseSC-c2100-r61_51-d2o96_8-v1200.o,2100.0,1200.0,61.51372,0.80824,0.00014,73.9
o_b8hcp-caseSC-c2100-r64_20-d2o96_8-v1400.o,2100.0,1400.0,64.19885,0.84531,0.00013,76.69
